city,state,latitude,longitude,hour,day_of_week,month,temperature,humidity,wind_speed,visibility,precipitation,pressure,traffic_density,road_type_highway,road_type_arterial,road_type_collector,road_type_local,weather_condition_numeric,population_density,seismic_zone,seismic_zone_risk,coastal,earthquake_risk,tsunami_risk,risk_level,severity_level
Mumbai,Maharashtra,19.098287794424202,72.94923525004037,9,2,12,38.49603464722775,55.181978711450085,6.350608332829976,18.63308759514774,2.27184414042296,1003.3858952582636,0.7288996724087229,0,1,0,0,0,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.11481589353987,72.95817556459154,3,0,4,23.68073963607738,62.34365440197952,4.542709403606441,1.782528397116475,0.03463760361554426,1015.9015693941628,0.7850799939737868,0,0,1,0,2,20000.0,3,0.6,1,0.2,0.0,3,3
Mumbai,Maharashtra,19.034783740707166,72.81072865896985,20,6,6,22.800865424177083,60.917964267228804,6.963634345813304,10.4731205443712,0.4452614062928062,1011.6830743006296,0.6811737672982314,1,0,0,0,2,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.103046786689212,72.84553714144563,15,5,7,28.81653381773256,80.57083223847229,6.630198824150027,16.957696725089995,2.352714623032394,1010.2057304019232,0.9430155516832985,0,1,0,0,0,20000.0,3,0.6,1,0.2,0.0,2,2
Mumbai,Maharashtra,19.044539883355906,72.81306546926163,12,2,2,27.780604364587035,43.485369858476965,10.559195315396753,2.6881029817387194,1.0890240675693585,999.9479740501093,0.7639147464655287,0,0,1,0,1,20000.0,3,0.6,1,0.2,0.0,1,0
Mumbai,Maharashtra,19.023866595845305,72.79863495398385,22,0,9,31.341052724262276,86.17653500950453,2.7129678806581623,2.674872288135302,1.5516848021254046,1006.1547999574144,0.8577356596762742,0,0,1,0,1,20000.0,3,0.6,1,0.2,0.0,2,2
Mumbai,Maharashtra,19.07558547950344,72.79706260014167,5,6,6,36.28316485515958,74.53696628072473,1.9770110329797883,5.668892022846446,1.0693333302887857,997.7675365118735,0.9627990042821479,0,0,1,0,1,20000.0,3,0.6,1,0.2,0.0,3,3
Mumbai,Maharashtra,19.141614165129322,72.89901005679722,18,3,3,24.140155967676563,77.44568397924228,23.013434092401628,5.030856426708117,0.3475787026179022,1010.0057872073909,0.8151660203987682,0,1,0,0,0,20000.0,3,0.6,1,0.2,0.0,1,0
Mumbai,Maharashtra,19.013580380310927,72.8131476221876,21,5,9,39.91707581575682,44.215339384332054,1.4780289217803437,17.642576596164513,2.3437929396988797,1023.8174029483838,0.497829367388552,0,1,0,0,0,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.04904316682744,72.78165764271954,3,5,11,39.2146679176675,85.37654044129062,12.497742146654026,18.385051533230076,0.38770645341223225,1001.0734961330257,0.6934565861175406,0,0,0,1,0,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.08522238045802,72.80892376179428,22,3,12,25.82500697146355,43.33746225569863,6.974339408143026,15.128138854017937,0.9240019036356497,998.1861519668483,0.6297886105628822,0,0,0,1,2,20000.0,3,0.6,1,0.2,0.0,2,2
Mumbai,Maharashtra,19.106480658619255,72.79759465248387,23,0,8,34.58827864434764,50.541544372266884,6.2722792405582535,8.11289895325859,0.07859931011374065,1037.5095657328063,0.6007611724300429,0,1,0,0,3,20000.0,3,0.6,1,0.2,0.0,2,1
Mumbai,Maharashtra,19.035422831495023,72.94361464863077,2,1,3,37.36277891441216,85.06758586007444,6.093445251858041,15.98342179003739,0.3287146984446436,1018.599311761189,0.6552580241365058,0,1,0,0,1,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.112308514656874,72.96624215898188,7,1,10,36.82646709103533,44.21099880138068,1.7975200169493735,16.66779498407041,0.4522105640702371,1026.0992934345486,0.8378368981104476,0,0,0,1,0,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.014790907970962,72.82168338930921,6,3,9,30.319815336019854,46.71266511255923,51.5397912087501,3.21002012832441,0.44581059131022177,994.8629715072763,0.6821060241578569,0,0,1,0,1,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,19.124634387888168,72.9265242920558,7,3,11,21.926625283271377,63.9985751835413,1.5233149838146067,13.946841236382685,0.8934933407442466,1009.515100774015,0.8228849996955352,0,1,0,0,0,20000.0,3,0.6,1,0.2,0.0,1,1
Mumbai,Maharashtra,18.99931244852664,72.78720637068342,1,4,5,27.642700051880844,82.65297746116627,0.08193272900214639,12.187633976129929,0.206721597467887,1015.6025178918567,0.5855271036087191,0,1,0,0,1,20000.0,3,0.6,1,0.2,0.0,1,2
